Idcomu,Comunidad,Total,Varones,Mujeres
1,andalucía,7975672,3958565,4017107
2,aragón,1277471,636659,640812
3,asturias,1076896,516347,560549
4,balears,1001062,501899,499163
5,canarias,1995833,1001394,994439
6,cantabria,568091,277869,290222
7,castillayleón,2523020,1247158,1275862
8,castillalamancha,1932261,970867,961394
9,cataluña,7134697,3543706,3590991
10,comunitatvalenciana,4806908,2394307,2412601
11,extremadura,1086373,540352,546021
12,galicia,2767524,1333797,1433727
13,madrid,6008183,2908654,3099529
14,murcia,1370306,697027,673279
15,navarra,601874,300917,300957
16,paísvasco,2133684,1043849,1089835
17,rioja,306377,154556,151821
18,ceuta,75861,38581,37280
19,melilla,66871,33962,32909
